cancel	huỷ bỏ
likelihood	khả năng
spot	nơi
silver	bạc
aid	viện trợ
partial	một phần
blessing	phước lành
other	khác
generously	rộng lượng, hào phóng
aim	mục đích
city	thành phố
confident	tự tin
uncle	Chú
retain	giữ lại
air	không khí
skilled	có kỹ năng
courage	lòng can đảm
educator	nhà giáo dục
local	địa phương
retail	bán lẻ
crew	phi hành đoàn
defeat	đánh bại
accommodate	chứa
bubble	bong bóng
steadily	liên tục
yield	năng suất
electronic	điện tử
promptly	mau lẹ, ngay lập tức
vacation	kỳ nghỉ
speak	nói
outcome	kết quả
sacred	Linh thiêng
tender	đấu thầu
infected	bị nhiễm, bị đầu độc
historian	nhà sử học
curriculum	chương trình giáo dục
satisfaction	sự thỏa mãn
meantime	thời gian chờ đợi
boat	thuyền
demographic	nhân khẩu học
powerful	quyền lực
future	Tương lai
atop	trên
cite	trích dẫn
atom	nguyên tử
movement	phong trào
royal	hoàng tộc
shed	đổ ra
glove	găng tay
impressed	được ghi, khắc, in sâu vào
rating	Xêp hạng
body	thân hình
mode	chế độ
rear	phía sau
cage	cái lồng
insect	côn trùng
qualify	đủ tiêu chuẩn
pregnant	có thai
all	tất cả các
always	luôn luôn
border	biên giới
read	đọc
already	đã
touch	chạm
admission	nhận vào
clock	đồng hồ
real	thực
expense	chi phí
rumour	tin đồn, lời đồn
unit	đơn vị
contemporary	đồng thời
monthly	hàng tháng
sensor	cảm biến
credit card	thẻ tín dụng
collect	sưu tầm
gear	Hộp số
badly	tệ
facilitate	tạo điều kiện
entertaining	giải trí
rob	cướp, lấy trộm
rod	gậy
dumb	ngớ ngẩn
favour	thiện ý, sự quý mến; sự đồng ý; sự chiếu cố
disappoint	không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất
weakness	yếu đuối
and	và
today	hôm nay
touchdown	đụng
construction	xây dựng
predict	tiên đoán
dump	đổ
row	hàng
universal	phổ cập
chemist	nhà hóa học
abroad	ở nước ngoài
fifteen	mười lăm
guilt	tội lỗi
undermine	phá hoại
deliberately	thong thả
radical	cấp tiến, căn nguyên
unnecessary	không cần thiết, không mong muốn
any	bất kì
minute	phút
ladder	thang
application	ứng dụng
productive	có năng suất
until	cho đến
formally	chính thức
hypothesis	giả thuyết
collapse	sự sụp đổ
dull	chậm hiểu, ngu đần
reason	lý do
accurate	chính xác
thought	nghĩ
legend	huyền thoại
prosecution	truy tố
taste	nếm thử
gambling	trò cờ bạc
ship	tàu
anywhere	ở đâu
identification	nhận biết
cake	bánh ngọt
jam	mứt
protein	chất đạm
annual	hàng năm
exclusive	độc quyền
jar	lọ
gentle	dịu dàng
poverty	nghèo nàn
sweater	áo len
resort	phương sách
testify	làm chứng
boil	sôi lên
shopping	mua sắm
lightning	sét đánh
jaw	hàm
devoted	hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình
margin	lề
nail	móng tay
pregnancy	mang thai
demand	nhu cầu
mount	gắn kết
toilet	phòng vệ sinh
turkey	gà tây
gently	dịu dàng
grade	cấp
letter	lá thư
centimetre	xen ti met
philosophical	triết học
telescope	kính viễn vọng
corruption	tham nhũng
photography	nhiếp ảnh
a few	một ít, một vài
annually	hàng năm
accuse	tố cáo
increased	tăng
housing	nhà ở
frequently	thường xuyên
northwest	Tây Bắc
devil	ác quỷ
instructional	hướng dẫn
acquire	có được, thu được
matching	tính địch thù, thi đấu
tactic	chiến thuật
worth	giá trị
automobile	ôtô
diversity	sự đa dạng
in order to	hợp lệ
notion	khái niệm
take advantage of	lợi dụng
uncomfortable comfortable	bất tiện, không tiện lợi
grace	ân sủng
patience	kiên nhẫn
where	Ở đâu
arm	cánh tay
popular	phổ biến
psychologist	nhà tâm lý học
broken	bị hỏng
art	nghệ thuật
curly	quăn, xoắn
lacking	ngu đần, ngây ngô
broker	người môi giới
call	gọi
calm	điềm tĩnh
kick	đá
ownership	sở hữu
shit	dơ bẩn
tumor	khối u
armed	trang bị
ash	tro
ask	hỏi
dilemma	tình trạng khó xử
rub	chà xát
ass	mông
through	xuyên qua
engagement	hôn ước
castle	thành trì, thành quách
strength	sức mạnh
officer	nhân viên văn phòng
reportedly	báo cáo
lifetime	cả đời
justified	hợp lý, được chứng minh là đúng
occasional	thỉnh thoảng
run	chạy
enact	ban hành
bomb	bom
repeated	được nhắc lại, được lặp lại
debate	tranh luận
mother	mẹ
mouse	chuột
either	hoặc
view	lượt xem
vulnerable	dễ bị tổn thương
ours	của chúng tôi
as soon as	ngay khi
preach	rao giảng
jet	máy bay phản lực
yourself	bản thân bạn
donate	hiến tặng
helpful	Hữu ích
dust	bụi bặm
those	những, cái đó
palace	cung điện
worry	lo
telephone	Điện thoại
bold	Dũng cảm
significant	có ý nghĩa
Irish	Người Ailen
camp	trại
difficulty	khó khăn
volunteer	Tình nguyện
everywhere	mọi nơi
senate	thượng nghi viện, ban giám hiệu
name	Tên
bolt	chớp
get on leo	trèo lên
neighborhood	khu vực lân cận
crop	mùa vụ
congressional	quốc hội
Christmas	Giáng Sinh
shop	cửa tiệm
distance	khoảng cách
mood	khí sắc
boom	sự bùng nổ
absence	vắng mặt
attract	thu hút
book	sách
truck	xe tải
show	chỉ
description	sự miêu tả
edition	phiên bản
disappear	biến mất
cracked	rạn, nứt
recession	suy thoái kinh tế
shot	bắn
negative	tiêu cực
pizza	pizza
ally	đồng minh
defend	phòng thủ
arrive	đến nơi
street	đường phố
hence	vì thế
boot	khởi động
shoe	giày
introduce	giới thiệu
substance	vật chất
estimated	ước tính
frown	nhăn mặt
bone	khúc xương
tribal	bộ lạc
bond	liên kết
suddenly	đột ngột
discourse	đàm luận
momentum	Đà
target	Mục tiêu
mouth	miệng
sibling	anh chị em ruột
guidance	hướng dẫn
nervous	lo lắng
restricted	bị hạn chế, có giới hạn; vùng cấm
duty	nhiệm vụ
stranger	lạ
Greek	người Hy Lạp
penny	số tiền
delicate	tinh tế
leader	lãnh đạo
fancy	tưởng tượng, cho, nghĩ rằng; tưởng tượng
yard	sân
rebel	nổi loạn
bounce	tung lên
experimental	thử nghiệm
tissue	mô
rent	thuê
Thanksgiving	Lễ Tạ ơn
cart	xe đẩy
cast	dàn diễn viên
anxious	lo lắng
piano	đàn piano
largely	phần lớn
slice	lát
broad	rộng lớn
princess	công chúa
severely	nghiêm trọng
truly	thực sự
cash	tiền mặt
case	trường hợp
generation	thế hệ
canvas	Tranh sơn dầu
item	mục
stiffly	cứng, cứng rắn, kiên quyết
gene	gen
hollow	rỗng, trống rỗng
downtown	trung tâm thành phố
trunk	Thân cây
wind sth up	lên dây, quấn, giải quyết
saving	nói
sunday	chủ nhật
moon	mặt trăng
phone	điện thoại
rely	dựa
slide	trượt
sticky	dính, nhớt
excessive	quá đáng
style	Phong cách
waist	eo
flesh	xác thịt
jungle	rừng nhiệt đới
card	Thẻ
outsider	người ngoài
care	quan tâm
participation	sự tham gia
assault	tấn công
damage	hư hại
purely	hoàn toàn, chỉ là
boss	trùm
guard	bảo vệ
pattern	mẫu
settle	ổn định
unfriendly friendly	đối địch, không thân thiện
exercise	tập thể dục
harsh	khắc nghiệt
labour	lao động; công việc
vehicle	phương tiện
freedom	sự tự do
physics	vật lý
seldom	ít khi
cooking	nấu nướng
protect	bảo vệ
architecture	kiến trúc
stress	nhấn mạnh
more	hơn
born	sinh ra
display	trưng bày
kill	giết chết
bore	buồn chán, buồn tẻ
beautifully	tốt đẹp, đáng hài lòng
nomination	đề cử
tablespoon	muỗng canh
disorder	rối loạn
broadly	rộng, rộng rãi
noisily	ồn ào, huyên náo
shut	đóng lại
luck	may mắn
navy	hải quân
simple	đơn giản
influence	ảnh hưởng
cloud	đám mây
percentage	phần trăm
talent	năng lực
totally	hoàn toàn
negotiate	đàm phán
speculation	suy đoán
cave	hang
package	gói
crisis	khủng hoảng
marketplace	thương trường
pronunciation	sự phát âm
king	nhà vua
kind	loại
timing	thời gian
in the end	cuối cùng, về sau
temporarily	tạm
unexpected, unexpectedly	bất ngờ, đột ngột, gây ngạc nhiên
both	cả hai
important	quan trọng
most	phần lớn
glimpse	nhìn thoáng qua
detective	thám tử
transfer	chuyển khoản
phrase	cụm từ
veteran	cựu chiến binh
daily	hằng ngày
nerve	dây thần kinh
rudely	bất lịch sự, thô lỗ; thô sơ, đơn giản
aside from	ngoài ra, trừ ra
job	việc làm
daughter	Con gái
cloth	vải
limitation	giới hạn
nonprofit	phi lợi nhuận
sponsor	nhà tài trợ
insert	chèn
captain	đội trưởng
forbid	ngăn cấm
inspiration	cảm hứng
bowl	bát
highlight	Điểm nổi bật
administrator	người quản lý
database	cơ sở dữ liệu
billion	tỷ
joy	vui sướng
patient	bệnh nhân
reject	Từ chối
sad	buồn
sheer	tuyệt
miracle	phép màu
sheet	tấm
depressing	làm chán nản làm thát vọng, làm trì trệ
profit	lợi nhuận
sheep	cừu
rest	nghỉ ngơi
amount	số lượng
move	di chuyển
comply	tuân theo
original	nguyên
album	album
assignment	nhiệm vụ
yawn	há miệng; cử chỉ ngáp
also	cũng thế
sandwich	sandwich
say	Nói
enough	đủ
prosecutor	công tố viên
increase	tăng
kingdom	Vương quốc
differ	khác nhau
spread	Lan tràn
afternoon	buổi chiều
educated	được giáo dục, được đào tạo
favor	ủng hộ
interruption	sự gián đoạn, sự ngắt lời
investigation	cuộc điều tra
latter	sau này
clinic	phòng khám bệnh
depression	Phiền muộn
front	trước mặt
simply	đơn giản
customer	khách hàng
plane	máy bay
equivalent	tương đương
stupid	ngốc nghếch
mentor	người cố vấn
bad	xấu
bag	túi
awake	thức tỉnh
kiss	hôn
ban	lệnh cấm
offer	phục vụ
bar	quán ba
diplomatic	ngoại giao
suffer	đau khổ
bat	gậy
neighbourhood	hàng xóm, làng giềng
saving (PL)	tiết kiệm (PL)
complex	phức tạp
draft	bản nháp
fluid	chất lỏng
bay	bay
rubbish	vật vô giá trị, bỏ đi, rác rưởi
afterwards	sau này, về sau, rồi thì, sau đấy
adequately	tương xứng, thỏa đáng
wrongly	một cách bất công, không đúng
personal	cá nhân
angry	bực bội
accurately	chính xác
plastic	nhựa
delay	sự chậm trễ
globe	quả địa cầu
chemical	hóa chất
plant	thực vật
enquiry	sự điều tra, sự thẩm vấn
drive	lái xe
greatly	rất nhiều
take notice of	chú ý
deal	thỏa thuận
strong	mạnh
abuse	lạm dụng
scheme	kế hoạch
homeland	quê hương
affect	có ảnh hưởng đến
deaf	điếc, làm thinh, làm ngơ
icon	biểu tượng
dead	đã chết
civic	công dân
drain	ráo nước
sea	biển
coldly	lạnh nhạt, hờ hững, vô tâm
sixth	thứ sáu
amuse	làm cho vui, thích, làm buồn cười
isolate	cô lập
sailor	thủy thủ
smoothly	một cách êm ả, trôi chảy
see	xem
servant	người hầu
responsibility	trách nhiệm
civil	dân sự
national	Quốc gia
subsequent	sau đó
indicate	biểu thị
wheat	lúa mì
dear	kính thưa
contain	chứa
set	bộ
sew	may, khâu
founder	người sáng lập
sex	tình dục
column	cột
medicine	dược phẩm
biography	tiểu sử
procedure	thủ tục
sample	mẫu vật
integrate	tích hợp
battle	chiến đấu
admiration	sự khâm phục,người kp, thán phục
gifted	năng khiếu
diagnose	chẩn đoán
fighter	đấu sĩ
somewhat	phần nào
river	con sông
validity	hiệu lực
spider	con nhện
bed	Giường
bee	con ong
beauty	sắc đẹp, vẻ đẹp
beg	ăn xin
deck	boong
no exclamation,	không
be sick	bị ốm
humorous	hài hước, hóm hỉnh
bet	cá cược
in public	giữa công chúng, công khai
parish	giáo xứ
contact	tiếp xúc
useless	vô ích, vô dụng
programming	lập trình
disadvantage	sự bất lợi, sự thiệt hại
metropolitan	đô thị
typically	thường
dishonest	bất lương, không thành thật
garbage	rác thải
suspicious	nghi ngờ
complain	than phiền
anxiety	sự lo ngại
she	chị ấy
adjust	điều chỉnh
western	miền Tây
debt	món nợ
in advance	trước, sớm
party	buổi tiệc
little	ít
deer	con nai
however	Tuy nhiên
lucky	may mắn
deep	sâu
confined	hạn chế, giới hạn
shy	nhát
forgive	tha lỗi
deem	thấy
regulatory	quy định
compel	bắt buộc
capable	có khả năng
depress	làm chán nản, làm phiền muộn; làm suy giảm
parade	diễu hành
collector	người thu gom
uncontrolled control	không bị kiềm chế, không bị kiểm tra
on sb’s behalf	nhân danh cá nhân ai
lemon	Chanh
related	liên quan
trainer	người huấn luyện
aunt	cô dì
await	chờ đợi
client	khách hàng
sin	tội
unfair	không công bằng
sir	Ngài
lump	cục, tảng, miếng; cái bướu
conversion	chuyển đổi
next to	gần
sit	ngồi
ballot	phiếu
over	kết thúc
brilliant	rực rỡ
historic	mang tính lịch sử
living	sống
practical	thiết thực
six	sáu
unacceptable	không thể chấp nhận, không tán thành, không tha thứ; không chịu nổi
eyebrow	lông mày
oven	lò nướng
breathing	thở
bound	nhất định, chắc chắn
false	sai, nhầm, giả dối
obviously	chắc chắn
packaging	bao bì
football	bóng đá
dinner	bữa tối
stroke	Cú đánh
breed	nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống
a little	nhỏ, một ít
cheque	séc
farmer	nông phu
developer	nhà phát triển
realm	cảnh giới
avoid	tránh
bid	BID
fresh	tươi
comprehensive	toàn diện
prompt	nhắc nhở
tunnel	đường hầm
elaborate	kỹ lưỡng
peasant	nông dân
big	lớn
corridor	hành lang
expert	chuyên gia
select	lựa chọn
advanced	nâng cao
crowd	đám đông
bin	thùng, thùng đựng rượu
mechanical	cơ khí
recommendation	sự giới thiệu
cycling	sự đi xe đạp
sick	đau ốm
bit	bit
improved	cải tiến
output	đầu ra
ski	trượt tuyết
thanks	cảm ơn
fatigue	mệt mỏi
striking	nổi bật
convinced	thuyết phục
corner	góc
beside	bên cạnh
majority	đa số
model	mô hình
join	tham gia
costume	trang phục
crown	vương miện, vua, ngai vàng; đỉnh cao nhất
reduce	giảm
sentence	kết án
sky	bầu trời
faithfully	trung thành, chung thủy, trung thực
hallway	hành lang
large	lớn
surface	bề mặt
director	giám đốc
satisfied	cảm thấy hài lòng, vừa ý, thoả mãn
tomorrow	Ngày mai
shareholder	cổ đông
ordinary	bình thường
youngster	thiếu niên
someday	một ngày nào đó
drink	uống
lung	phổi
operate	vận hành
verdict	bản án
exclusively	duy nhất
doctrine	học thuyết
hello	xin chào
begin	bắt đầu
unknown know	không biết, không được nhận ra
judgement	sự xét xử
viewer	người xem
works	công trinh
alive	sống sót
proportion	tỉ lệ
boyfriend	bạn trai
crystal	pha lê
pursuit	theo đuổi
weekend	ngày cuối tuần
neighbour	hàng xóm
plate	đĩa
tournament	giải đấu
bankruptcy	phá sản
cycle	chu kỳ
thinking	Suy nghĩ
world	thế giới
inquiry	yêu cầu
astronomer	nhà thiên văn học
dissolve	giải thể
angle	góc
december	tháng mười hai, tháng chạp
hopefully	hy vọng
immigrant	di trú
tradition	truyền thống
everything	mọi điều
urgent	gấp, khẩn cấp
programme	chương trình
table	bàn
in case	nếu......
columnist	nhà bình luận viên
bread	bánh mỳ
pence	đồng xu
side	bên
counseling	tư vấn
due to	vì, do, tại, nhờ có
break	phá vỡ
change	thay đổi
restaurant	nhà hàng
willingness	sự sẵn lòng
indirectly	gián tiếp
cupboard	1 loại tủ có ngăn
comfort	thoải mái
joke	đùa
likewise	tương tự
century	thế kỷ
hide	ẩn giấu
punishment	hình phạt
traditionally	theo truyền thống
corporate	công ty
discovery	khám phá
instruction	chỉ dẫn
candle	nến
report	bài báo cáo
married	cưới nhau
pants (PL)	quần (PL)
auto	Tự động
sigh	thở dài
theirs	của chúng, của chúng nó, của họ
constant	không thay đổi
several	một số
sign	ký tên
cotton	bông
angel	Thiên thần
office	văn phòng
northern	Phương bắc
anger	Sự phẫn nộ
scramble	tranh giành
high	cao
son	Con trai
split	phân chia
ought to modal	phải, nên, hẳn là
unfair, unfairly fair	không đúng, không công bằng, gian lận
publication	xuất bản
different	khác nhau
directly	trực tiếp
kneel	quỳ xuống
officially	chính thức
level	cấp độ
stick out	đòi, đạt được cái gì
give sth out	chia, phân phối
Islamic	Hồi giáo
preserve	giữ gìn
establish	thành lập
permanently	cách thường xuyên, vĩnh cửu
relevant	liên quan, thích hợp
proclaim	tuyên bố
attached	gắn bó
bunch	bó
spy	gián điệp
birthday	sinh nhật
behind	phía sau
candy	Cục kẹo
recipe	công thức
drugstore	hiệu thuốc, cửa hàng dược phẩm
box	cái hộp
mental	tâm thần
tiring	sự mệt mỏi, sự mệt nhọc
bow	cây cung
decent	phong nha
boy	con trai
racial	chủng tộc
switch	công tắc điện
total	toàn bộ
niece	cháu gái
upstairs	tầng trên
in front	ở phía trước
politely	lễ phép, lịch sự
consumer	khách hàng
highly	cao
one-third	một phần ba
unfortunate	không may, rủi ro, bất hạnh
chance	cơ hội
economist	nhà kinh tế học
initiative	sáng kiến
nature	thiên nhiên
social	xã hội
wheel	bánh xe
T-shirt	Áo thun
illegally	trái luật, bất hợp pháp
interesting	hấp dẫn
cross	vượt qua
control	điều khiển
medication	thuốc men
Christianity	Cơ đốc giáo
coloured	mang màu sắc, có màu sắc
drill	máy khoan
clerk	nhân viên bán hàng
acknowledge	công nhận
lobby	sảnh đợi
earth	trái đất
pulse	xung
essentially	bản chất
all right	tốt, ổn, khỏe mạnh; được
stance	lập trường
closest	gần nhất
stumble	tình cờ gặp
dancing	khiêu vũ
elbow	khuỷu tay
specialty	chuyên môn
vary	thay đổi
threatening	sự đe dọa, sự hăm dọa
upper	phía trên
county	quận
paint	Sơn
episode	tập phim
respondent	người trả lời
fighting	trận đánh
behalf	thay mặt
somewhere	một vài nơi
injure	làm bị thương
objective	mục tiêu
scene	bối cảnh
dynamics	động lực học
scandal	vụ bê bối
geography	địa lý, khoa địa lý
horrible	kinh khủng
friend	người bạn
scent	hương thơm
strengthen	củng cố
injury	chấn thương
exhibit	triển lãm
mushroom	nấm
publishing	công việc, nghề xuất bản
alcohol	rượu
deny	phủ nhận
closely	chặt chẽ
pleasure	vui lòng
hurricane	bão
hike	đi lang thang
remaining	còn lại
accept	Chấp nhận
glory	vinh quang
morning	buổi sáng
horse	con ngựa
secondary	thứ hai
mission	sứ mệnh
underwater	ở dưới mặt nước, dưới mặt nước
autumn	mùa thu
motor	động cơ
sue	kiện
access	truy cập
cooperate	hợp tác
overcome	vượt qua
sum	tổng hợp
unusually	cực kỳ, khác thường
neighboring	lân cận
sun	mặt trời
extended	mở rộng
serving	phục vụ
current	hiện hành
secretary	Thư ký
actively	tích cực
civilian	dân thường
key	Chìa khóa
surprised	ngạc nhiên
offensive	phản cảm
silk	lụa
silent	im lặng
storm	bão táp
manager	giám đốc
cartoon	hoạt hình
texture	kết cấu
maker	nhà sản xuất
amid	giữa
launch	phóng
store	cửa hàng
confirm	xác nhận
hill	đồi núi
bug	lỗi
gallon	galông 1gl = 4, 54 lít ở anh, 3, 78 lít ở mỹ
tightly	chặt chẽ
appoint	bổ nhiệm
mortality	tử vong
fourth	thứ tư
vast	rộng lớn
story	câu chuyện
but	nhưng
bus	xe buýt
sincerely	một cách chân thành
symbol	ký hiệu
declare	khai
sexuality	tình dục
dislike	sự không ưa, không thích, sự ghét
buy	mua
revelation	sự mặc khải
available	có sẵn
express	bày tỏ
advocate	biện hộ
confine	giam giữ, hạn chế
quest	nhiệm vụ
frequency	tần số
instantly	ngay lập tức
luggage	hành lý
missile	tên lửa
dynamic	năng động
written	bằng văn bản
generate	tạo ra
passion	niềm đam mê
sector	ngành
unusual	bất thường
extreme	cực
tuck	tuck
coordinate	danh từ
athlete	lực sĩ
sink	bồn rửa
degree	trình độ
ranch	trang trại
tube	ống
especially	đặc biệt
ocean	đại dương
naval	hải quân
once	Một lần
carpet	thảm
desk	bàn
hint	dấu
sing	hát
demonstrate	chứng minh
dishonestly	bất lương, không lương thiện
wheelchair	xe lăn
hire	thuê mướn
idea	ý kiến
kid	đứa trẻ
monument	tượng đài
inventory	hàng tồn kho
kit	bộ dụng cụ
missing	mất tích
throughout	khắp
virtue	Đức hạnh
successful	thành công
coverage	phủ sóng
lovely	đáng yêu
normal	bình thường
British	người Anh
brutal	tàn bạo
figure	nhân vật
gradual	dần dần, từng bước một
transmit	chuyển giao
consumption	tiêu dùng
technology	Công nghệ
weaken	làm suy yếu
stone	Cục đá
vaccine	vắc-xin
refer to	xem, tham khảo; ám chỉ, nhắc đến
migration	di cư
specially	đặc biệt, riêng biệt
passing	đi qua
gentleman	quý ông
advertise	báo cho biết, báo cho biết trước
compromise	thỏa hiệp
sack	bao
reach	chạm tới
lightly	nhẹ nhàng
react	phản ứng
feedback	Phản hồi
road	đường
justify	biện hộ
review	ôn tập
sight	thị giác
weather	thời tiết
tighten	thắt chặt
timber	gỗ
nobody	không ai
traveller	người đi, lữ khách
between	giữa
guide	hướng dẫn
longtime	thời gian dài
efficiency	hiệu quả
ethnic	dân tộc
collar	cổ áo
goal	mục tiêu
natural	tự nhiên
rightly	đúng, phải, có lý
go down	đi xuống
goat	con dê
banker	chủ ngân hàng
ironically	trớ trêu thay
intact	nguyên vẹn
following	tiếp theo
sensitivity	nhạy cảm
substantially	đáng kể
scared	sợ hãi
unwillingly	không sẵn lòng, miễn cưỡng
flag	cờ
racing	cuộc đua
sympathetic	đồng cảm, đáng mến, dễ thương
unsuccessful	không thành công, thất bại
wear	mặc
range	phạm vi
derive	lấy được
weak	Yếu
rock	đá
impress	gây ấn tượng
feature	đặc tính
lean	nạc
assert	khẳng định
flat	bằng phẳng
recall	hồi tưởng
leap	nhảy vọt
place	địa điểm
regular	đều đặn
objection	sự phản đối
dispute	tranh chấp
observation	quan sát
twisted	được xoắn, được cuộn
tired	mệt mỏi
aggression	Hiếu chiến
suggest	đề nghị
upside down	lộn ngược
leaf	lá
lead	chì
fraction	phân số
filter	lọc
expect	chờ đợi
site	địa điểm
sunlight	ánh sáng mặt trời
cease	ngưng
emotion	cảm xúc
assess	đánh giá
prescription	đơn thuốc
Chinese	Trung Quốc
apology	xin lỗi
argument	tranh luận
passage	đoạn văn
adequate	đầy đủ
linhpham	linhcutene
dozen	tá
tremendous	to lớn
growing	phát triển
plain	trơn
surprisingly	thật ngạc nhiên
only	chỉ có
should	Nên
justice	Sự công bằng
tag	nhãn
in common	sự chung, của chung
notebook	sổ tay
tap	gõ
indirect	gián tiếp
individual	cá nhân
salmon	cá hồi
ugly	xấu xí
tax	Thuế
towards	về hướng
excitement	sự phấn khích
person	người
testimony	lời khai
safe	an toàn
enforce	thi hành
departure	khởi hành
fragile	mong manh
presidential	tổng thống
herself	cô ấy
potentially	có khả năng
supposedly	được cho là
covering	sự bao bọc, sự che phủ, cái bao, bọc
week	tuần
sail	cánh buồm
cab	taxi
distinct	khác biệt
flee	chạy trốn
tune	điều chỉnh
aware	ý thức
can	có thể
drama	kịch
hair	tóc
award	giải thưởng
cap	mũ lưỡi trai
car	xe hơi
eligible	hội đủ điều kiện
marriage	kết hôn
ready	sẳn sàng
cat	con mèo
stove	bếp
alarm	báo thức
exempli gratia	trứng
weed	cỏ dại
village	làng
by means of	bằng phương tiện
privately	tư nhân
greatest	vĩ đại nhất
player	người chơi
smooth	trơn tru
unconscious	bất tỉnh, không có ý thức, không biết rõ
balloon	quả bóng bay
orientation	sự định hướng
racism	chủ nghĩa phân biệt chủng tộc
motion	chuyển động
good, well	tốt, khỏe
limited	giới hạn
satisfy	làm vui lòng
undo do	tháo, gỡ, xóa, hủy bỏ
february	tháng 2
match	trận đấu
fault	lỗi
accent	giọng điệu
clothes	quần áo
really	có thật không
lorry	xe tải
carrier	vận chuyển
fragment	miếng
response	phản ứng
independently	độc lập
category	thể loại
informal	không chính thức
rival	đối thủ
